Player,Season,Team,GP,G,A,P,+/-,P/GP,S,S%
Ryan McDonagh,20192020,TBL,12,1,4,5,-1,0.42,24,4.2
Mikhail Sergachev,20192020,TBL,15,1,4,5,6,0.33,28,3.6
Esa Lindell,20192020,DAL,18,1,4,5,-7,0.28,29,3.5
Scott Mayfield,20192020,NYI,18,1,4,5,11,0.28,17,5.9
Derek Stepan,20192020,ARI,9,1,4,5,-4,0.56,12,8.3
Ryan Johansen,20192020,NSH,4,1,4,5,1,1.25,7,14.3
Eric Staal,20192020,MIN,4,1,4,5,0,1.25,9,11.1
Mattias Janmark,20192020,DAL,17,0,5,5,0,0.29,25,0
Nick Cousins,20192020,VGK,15,0,5,5,-1,0.33,23,0
Duncan Keith,20192020,CHI,9,0,5,5,-7,0.56,10,0
Jesperi Kotkaniemi,20192020,MTL,10,4,0,4,4,0.4,11,36.4
Jake DeBrusk,20192020,BOS,13,4,0,4,-3,0.31,27,14.8
Jaden Schwartz,20192020,STL,9,4,0,4,-3,0.44,30,13.3
Philippe Myers,20192020,PHI,16,3,1,4,2,0.25,30,10
Matthew Highmore,20192020,CHI,9,3,1,4,-1,0.44,8,37.5
Joel Kiviranta,20192020,DAL,5,3,1,4,6,0.8,12,25
Kevin Fiala,20192020,MIN,4,3,1,4,1,1,19,15.8
William Nylander,20192020,TOR,5,2,2,4,-3,0.8,10,20
Chandler Stephenson,20192020,VGK,17,2,2,4,2,0.24,14,14.3
Tyler Toffoli,20192020,VAN,7,2,2,4,-4,0.57,11,18.2
Andy Greene,20192020,NYI,17,2,2,4,4,0.24,11,18.2
Jared Spurgeon,20192020,MIN,4,2,2,4,-1,1,7,28.6
Antoine Roussel,20192020,VAN,17,2,2,4,0,0.24,11,18.2
Seth Jones,20192020,CBJ,10,1,3,4,2,0.4,25,4
Artturi Lehkonen,20192020,MTL,10,1,3,4,4,0.4,20,5
Barclay Goodrow,20192020,TBL,15,1,3,4,8,0.27,16,6.3
Brendan Gallagher,20192020,MTL,9,1,3,4,-1,0.44,37,2.7
